identifier,trip_id,speed_avg,speed_urban_avg,speed_highway_avg,speed_rural_avg,acc_avg,acc_urban,acc_highway,acc_rural,duration,duration_urban,duration_highway,duration_rural,duration_driving,duration_driving_urban,duration_driving_highway,duration_driving_rural,distance_total,distance_urban,distance_highway,distance_rural,obd_fuel_consumption
ecodriver008,0138DDB9-DBC9-417B-8D1F-BA0BF9661D8A,45.49676470588231,39.41999999999999,0.0,46.66947368421047,1.3247999999999995,1.4611764705882335,0.0,1.2545454545454544,136.0,22.0,0.0,114.0,136.0,22.0,0.0,114.0,1.7028098104132976,0.2450950920192345,0.0,1.4577147183940635,5.982436882546652
ecodriver008,03C8082E-C4E1-47E5-ACDF-FAF37E6BEAA2,37.09460970121055,33.01679026563494,0.0,45.07451933701656,0.7281217244294168,0.6920730981725457,0.0,0.7990434782608697,2901.0,1947.0,0.0,954.0,2676.0,1771.0,0.0,905.0,27.51483409836162,16.16959973146794,0.0,11.345234366893742,5.81838357684483
ecodriver008,0A5A2AF6-8142-4AF6-86E5-02480E48BCCB,32.29933333333334,28.117894736842143,0.0,34.2370731707317,1.513663366336634,1.6757142857142855,0.0,1.4515068493150691,220.0,57.0,0.0,163.0,180.0,57.0,0.0,123.0,1.5978378163317697,0.4185544497397364,0.0,1.1792833665920328,7.11864406779661
ecodriver008,0C8608D1-E139-4BB1-AF4E-75E70831B74E,30.675505134298863,29.95223762376233,0.0,32.0590282131661,1.371189461449051,1.4302978723404258,0.0,1.2563921345112572,1058.0,761.0,0.0,297.0,769.0,505.0,0.0,264.0,6.52076297272163,4.14867030172207,0.0,2.372092670999564,6.401731869491264
ecodriver008,1684BBC5-8E38-4BE0-928D-BFB0C059A75D,28.3434276437848,32.53351851851853,0.0,26.750012804097327,1.1499220779220782,1.5892682926829271,0.0,0.868465909090909,240.0,74.0,0.0,166.0,196.0,54.0,0.0,142.0,1.512159106569653,0.4731618079524916,0.0,1.0389972986171614,6.044678055190539
ecodriver008,1D2146B7-155A-4D17-B821-AC403A21B1DD,32.921142857142875,0.0,0.0,32.921142857142875,1.006725663716815,0.0,0.0,1.006725663716815,244.0,0.0,0.0,244.0,210.0,0.0,0.0,210.0,1.9261008618274496,0.0,0.0,1.9261008618274496,6.428571428571429
ecodriver008,1D80160E-EC44-4F45-AD34-6046028B07DF,33.042234313498454,27.46641456582629,0.0,40.698263736263705,1.0922448979591837,1.1376271186440678,0.0,1.0309269356597603,736.0,453.0,0.0,283.0,617.0,357.0,0.0,260.0,5.6603035382732285,2.7034452233542594,0.0,2.956858314918966,6.49599442702891
ecodriver008,210FA92F-240F-41EE-9016-354BF96A6741,30.582272727272745,25.69698113207549,0.0,37.98000000000003,1.2290109890109888,1.39125,0.0,0.8444444444444437,186.0,116.0,0.0,70.0,176.0,106.0,0.0,70.0,1.4291204579257897,0.7136516424258744,0.0,0.7154688154999153,7.176391683433936
ecodriver008,2266B62F-7599-4CC1-A7C0-4141B5C0CD74,36.52495867768588,39.01163636363632,0.0,34.45272727272719,0.9612631578947364,0.707441860465115,0.0,1.1711538461538464,427.0,165.0,0.0,262.0,363.0,165.0,0.0,198.0,3.6204393508652593,1.7731566504496776,0.0,1.8472827004155807,6.24
ecodriver008,260EF4CA-86E0-40DB-A6BB-D6763CE20649,26.16186234817814,26.16186234817814,0.0,0.0,1.5937007874015754,1.5937007874015754,0.0,0.0,390.0,390.0,0.0,0.0,247.0,247.0,0.0,0.0,1.8261941394300487,1.8261941394300487,0.0,0.0,7.455890722822995
ecodriver008,295F7E90-F9AE-4A69-A11D-8CB5BD61836C,35.19515543280252,42.76763358778626,0.0,28.79519002439691,0.836546218487395,0.621176470588235,0.0,1.0399509803921572,406.0,131.0,0.0,275.0,286.0,131.0,0.0,155.0,2.7340485589234333,1.5285140332078857,0.0,1.2055345257155488,7.310529845741113
ecodriver008,2DE9A00A-28C1-48AD-91A3-E66272D04803,34.96203451407809,34.96203451407809,0.0,0.0,1.249608938547486,1.249608938547486,0.0,0.0,395.0,395.0,0.0,0.0,367.0,367.0,0.0,0.0,3.512044014088965,3.512044014088965,0.0,0.0,5.934873949579832
ecodriver008,310ACA7D-880C-4248-9B2C-73E44626016C,48.30961460446253,33.13307692307693,0.0,55.33495548961432,0.8923880597014927,1.0824,0.0,0.7792857142857146,498.0,161.0,0.0,337.0,493.0,156.0,0.0,337.0,6.597664780112793,1.446136752750636,0.0,5.151528027362159,5.095638867635808
