count;frame;lane;on_the_fly;over;Veh_ TypeM;Vm;Veh_ Type1;Veh_RL;V1;Veh_ Type0;Veh_ Type2;Veh_ Type3;platoon;sum_ platoon;d0;d1;d2;d3;opening;s_x;s_y;distancexy;V2;V3;helmet;passenger;dif;ttc;ttcc
39;12605;0;0;0;1;70;1;0;63;0;1;1;1;2;255;48.5;19;0.9;19;1.8;11;11.1;50;72;1;0;7;2.3;2.3
40;12755;1;1;0;0;68;1;0;58;1;1;1;1;2;49.7;67.5;7.4;1.8;7.6;3.7;9.7;10.4;58;60;1;0;10;1.54;1.54
41;12855;1;0;0;0;72;1;1;59;2;1;1;0;0;45.7;43.2;255;1.5;255;0.6;8.7;8.7;54;57;1;0;13;1.053846154;1.053846154
42;12880;0;1;1;0;75;1;1;60;1;2;1;0;0;26.7;19.3;3.3;1.5;3.6;1.6;1.9;2.5;65;66;1;0;15;0.5;0.5
43;12980;0;1;0;0;65;1;1;60;1;1;1;0;0;28.9;48.6;6.7;0.9;6.8;2.5;2.2;3.3;68;67;1;0;5;1.66;1.66
44;13055;1;0;1;0;76;1;1;50;0;1;1;0;0;255;94.2;72.3;1.5;72.3;1.1;11;11.1;65;54;1;0;26;0.619230769;0.619230769
45;13055;1;0;0;1;79;1;1;50;0;1;1;0;0;255;94.2;72.3;1.5;72.3;1.1;15.7;15.7;65;54;1;0;29;0.713793103;0.713793103
46;13480;0;0;1;0;74;1;1;45;0;1;1;0;0;255;61;11;1.2;11.1;0.8;9.1;9.1;58;45;1;0;29;0.486206897;0.486206897
47;13580;0;1;1;1;70;1;0;45;1;2;1;0;0;35.2;66.5;35.8;1.3;35.8;1.9;5.7;6;50;45;1;0;25;0.44;0.44
48;14980;0;1;1;0;82;2;1;74;2;0;2;0;0;42;255;30.3;255;256.8;3.6;1.7;4;0;67;1;0;8;1.125;1.125
49;15505;1;1;1;0;104;1;0;68;1;0;2;0;0;7.5;255;40.5;2.5;40.6;3.2;1.7;3.6;0;92;1;0;36;0.238888889;0.238888889
50;15705;1;0;0;0;85;1;1;72;0;1;1;0;0;255;14.1;255;1.7;255;0.9;5.5;5.6;78;78;1;0;13;0.815384615;0.815384615
51;16005;0;1;0;1;76;1;0;66;0;0;1;1;2;255;255;8;1.9;8.2;1.8;3.1;3.6;0;72;1;0;10;0.86;0.86
